Name;Guest OS;IP Address
FLC-RSA-ECOM-BE-V2-02;Ubuntu Linux (64-bit);10.96.103.173
FLC-3RD-INTEGRATION-3;Ubuntu Linux (64-bit);10.96.103.174
FLC-LOYALTY-INTEGRATION-1;Ubuntu Linux (64-bit);10.96.103.175
FLC-LOYALTY-INTEGRATION-2;Ubuntu Linux (64-bit);10.96.103.176
FLC-LOYALTY-INTEGRATION-3;Ubuntu Linux (64-bit);10.96.103.177
FLC-PromotionListener-API-1;Ubuntu Linux (64-bit);10.96.103.178
FLC-PromotionListener-API-2;Ubuntu Linux (64-bit);10.96.103.179
FLC-PromotionListener-API-3;Ubuntu Linux (64-bit);10.96.103.180
FLC-Promotion-BE-2;Ubuntu Linux (64-bit);10.96.103.181
FLC-Promotion-Voucher-Serivce;Ubuntu Linux (64-bit);10.96.103.182
FLC-IMS-BOOKING-API;Ubuntu Linux (64-bit);10.96.103.195
FLC-IMS-STOCK-PRICING-API-2;Ubuntu Linux (64-bit);10.96.103.196
FLC-Promotion-Core-7;Ubuntu Linux (64-bit);10.96.103.199
FLC-IMS-INVENTORY-API-2;Ubuntu Linux (64-bit);10.96.103.200
FLC-Loyalty-Listener-3;Ubuntu Linux (64-bit);10.96.103.201
FLC-Loyalty-Listener-4;Ubuntu Linux (64-bit);10.96.103.202
FLC-CustomerEvents-Service-1;Ubuntu Linux (64-bit);10.96.103.203
FLC-CustomerEvents-Service-2;Ubuntu Linux (64-bit);10.96.103.204
BRAVO-NGINX-LB-1;Ubuntu Linux (64-bit);10.96.103.205
BRAVO-NGINX-LB-2;Ubuntu Linux (64-bit);10.96.103.206
FRT-AIRFLOW;Ubuntu Linux (64-bit);10.96.103.207
LC-PIM-FE;Ubuntu Linux (64-bit);10.96.103.208
LC-PIM-Core;Ubuntu Linux (64-bit);10.96.103.209
LC-PIM-Portal;Ubuntu Linux (64-bit);10.96.103.210
LC-PIM-Pricing;Ubuntu Linux (64-bit);10.96.103.211
LC-PIM-RuleEngine;Ubuntu Linux (64-bit);10.96.103.212
LC-PIM-CatalogListener;Ubuntu Linux (64-bit);10.96.103.213
